location,date,people_fully_vaccinated_per_hundred
Upper-middle-income countries,2021-03-13,0.43
Upper-middle-income countries,2021-03-14,0.44
Upper-middle-income countries,2021-03-15,0.45
Upper-middle-income countries,2021-03-16,0.48
Upper-middle-income countries,2021-03-17,0.52
Upper-middle-income countries,2021-03-18,0.55
Upper-middle-income countries,2021-03-19,0.57
Upper-middle-income countries,2021-03-20,0.59
Upper-middle-income countries,2021-03-21,0.59
Upper-middle-income countries,2021-03-22,0.61
Upper-middle-income countries,2021-03-23,0.63
Upper-middle-income countries,2021-03-24,0.65
Upper-middle-income countries,2021-03-25,0.67
Upper-middle-income countries,2021-03-26,0.69
Upper-middle-income countries,2021-03-27,0.7
Upper-middle-income countries,2021-03-28,0.7
Upper-middle-income countries,2021-03-29,0.78
Upper-middle-income countries,2021-03-30,0.8
Upper-middle-income countries,2021-03-31,0.82
Upper-middle-income countries,2021-04-01,0.85
Upper-middle-income countries,2021-04-02,0.87
Upper-middle-income countries,2021-04-03,0.88
Upper-middle-income countries,2021-04-04,0.89
Upper-middle-income countries,2021-04-05,0.91
Upper-middle-income countries,2021-04-06,0.93
Upper-middle-income countries,2021-04-07,0.98
Upper-middle-income countries,2021-04-08,1.01
Upper-middle-income countries,2021-04-09,1.05
Upper-middle-income countries,2021-04-10,1.08
Upper-middle-income countries,2021-04-11,1.08
Upper-middle-income countries,2021-04-12,1.11
Upper-middle-income countries,2021-04-13,1.16
Upper-middle-income countries,2021-04-14,1.22
Upper-middle-income countries,2021-04-15,1.25
Upper-middle-income countries,2021-04-16,1.3
Upper-middle-income countries,2021-04-17,1.33
Upper-middle-income countries,2021-04-18,1.35
Upper-middle-income countries,2021-04-19,1.39
Upper-middle-income countries,2021-04-20,1.43
Upper-middle-income countries,2021-04-21,1.47
Upper-middle-income countries,2021-04-22,1.52
Upper-middle-income countries,2021-04-23,1.57
Upper-middle-income countries,2021-04-24,1.6
Upper-middle-income countries,2021-04-25,1.62
Upper-middle-income countries,2021-04-26,1.67
Upper-middle-income countries,2021-04-27,1.72
Upper-middle-income countries,2021-04-28,1.8
Upper-middle-income countries,2021-04-29,1.87
Upper-middle-income countries,2021-04-30,1.93
Upper-middle-income countries,2021-05-01,1.95
Upper-middle-income countries,2021-05-02,1.97
Upper-middle-income countries,2021-05-03,2.0
Upper-middle-income countries,2021-05-04,2.07
Upper-middle-income countries,2021-05-05,2.14
Upper-middle-income countries,2021-05-06,2.18
Upper-middle-income countries,2021-05-07,2.25
Upper-middle-income countries,2021-05-08,2.27
Upper-middle-income countries,2021-05-09,2.28
Upper-middle-income countries,2021-05-10,2.32
Upper-middle-income countries,2021-05-11,2.36
Upper-middle-income countries,2021-05-12,2.42
Upper-middle-income countries,2021-05-13,2.46
Upper-middle-income countries,2021-05-14,2.5
Upper-middle-income countries,2021-05-15,2.52
Upper-middle-income countries,2021-05-16,2.56
Upper-middle-income countries,2021-05-17,2.59
Upper-middle-income countries,2021-05-18,2.64
Upper-middle-income countries,2021-05-19,2.7
Upper-middle-income countries,2021-05-20,2.74
Upper-middle-income countries,2021-05-21,2.79
Upper-middle-income countries,2021-05-22,2.84
Upper-middle-income countries,2021-05-23,2.87
Upper-middle-income countries,2021-05-24,2.89
Upper-middle-income countries,2021-05-25,2.93
Upper-middle-income countries,2021-05-26,2.96
Upper-middle-income countries,2021-05-27,2.99
Upper-middle-income countries,2021-05-28,3.04
Upper-middle-income countries,2021-05-29,3.07
Upper-middle-income countries,2021-05-30,3.09
Upper-middle-income countries,2021-05-31,3.12
Upper-middle-income countries,2021-06-01,3.19
Upper-middle-income countries,2021-06-02,3.24
Upper-middle-income countries,2021-06-03,3.28
Upper-middle-income countries,2021-06-04,3.33
Upper-middle-income countries,2021-06-05,3.36
Upper-middle-income countries,2021-06-06,3.37
Upper-middle-income countries,2021-06-07,3.41
Upper-middle-income countries,2021-06-08,3.46
Upper-middle-income countries,2021-06-09,3.51
Upper-middle-income countries,2021-06-10,3.56
Upper-middle-income countries,2021-06-11,3.62
Upper-middle-income countries,2021-06-12,3.66
Upper-middle-income countries,2021-06-13,3.68
Upper-middle-income countries,2021-06-14,3.72
Upper-middle-income countries,2021-06-15,3.77
Upper-middle-income countries,2021-06-16,3.81
Upper-middle-income countries,2021-06-17,3.88
Upper-middle-income countries,2021-06-18,3.94
Upper-middle-income countries,2021-06-19,4.0
Upper-middle-income countries,2021-06-20,4.03
Upper-middle-income countries,2021-06-21,4.09
Upper-middle-income countries,2021-06-22,4.15
Upper-middle-income countries,2021-06-23,4.21
Upper-middle-income countries,2021-06-24,4.29
Upper-middle-income countries,2021-06-25,4.35
Upper-middle-income countries,2021-06-26,4.39
Upper-middle-income countries,2021-06-27,4.42
Upper-middle-income countries,2021-06-28,4.48
Upper-middle-income countries,2021-06-29,4.55
Upper-middle-income countries,2021-06-30,4.62
Upper-middle-income countries,2021-07-01,4.69
Upper-middle-income countries,2021-07-02,4.75
Upper-middle-income countries,2021-07-03,4.8
Upper-middle-income countries,2021-07-04,4.83
Upper-middle-income countries,2021-07-05,4.89
Upper-middle-income countries,2021-07-06,4.96
Upper-middle-income countries,2021-07-07,5.06
Upper-middle-income countries,2021-07-08,5.16
Upper-middle-income countries,2021-07-09,5.23
Upper-middle-income countries,2021-07-10,5.29
Upper-middle-income countries,2021-07-11,5.36
Upper-middle-income countries,2021-07-12,5.47
Upper-middle-income countries,2021-07-13,5.55
Upper-middle-income countries,2021-07-14,5.67
Upper-middle-income countries,2021-07-15,5.78
Upper-middle-income countries,2021-07-16,5.87
Upper-middle-income countries,2021-07-17,5.94
Upper-middle-income countries,2021-07-18,6.0
Upper-middle-income countries,2021-07-19,6.06
Upper-middle-income countries,2021-07-20,6.17
Upper-middle-income countries,2021-07-21,6.26
Upper-middle-income countries,2021-07-22,6.39
Upper-middle-income countries,2021-07-23,6.5
Upper-middle-income countries,2021-07-24,6.58
Upper-middle-income countries,2021-07-25,6.66
Upper-middle-income countries,2021-07-26,6.76
Upper-middle-income countries,2021-07-27,6.9
Upper-middle-income countries,2021-07-28,7.04
Upper-middle-income countries,2021-07-29,7.18
Upper-middle-income countries,2021-07-30,7.32
Upper-middle-income countries,2021-07-31,7.42
Upper-middle-income countries,2021-08-01,7.47
Upper-middle-income countries,2021-08-02,7.56
Upper-middle-income countries,2021-08-03,7.67
Upper-middle-income countries,2021-08-04,7.8
Upper-middle-income countries,2021-08-05,7.91
Upper-middle-income countries,2021-08-06,8.02
Upper-middle-income countries,2021-08-07,8.12
Upper-middle-income countries,2021-08-08,8.2
Upper-middle-income countries,2021-08-09,8.29
Upper-middle-income countries,2021-08-10,8.45
Upper-middle-income countries,2021-08-11,8.58
Upper-middle-income countries,2021-08-12,39.5
Upper-middle-income countries,2021-08-13,39.68
Upper-middle-income countries,2021-08-14,39.84
Upper-middle-income countries,2021-08-15,39.92
Upper-middle-income countries,2021-08-16,40.03
Upper-middle-income countries,2021-08-17,40.18
Upper-middle-income countries,2021-08-18,40.34
Upper-middle-income countries,2021-08-19,40.48
Upper-middle-income countries,2021-08-20,40.62
Upper-middle-income countries,2021-08-21,40.72
Upper-middle-income countries,2021-08-22,40.79
Upper-middle-income countries,2021-08-23,40.9
Upper-middle-income countries,2021-08-24,41.03
Upper-middle-income countries,2021-08-25,41.16
Upper-middle-income countries,2021-08-26,45.75
Upper-middle-income countries,2021-08-27,46.01
Upper-middle-income countries,2021-08-28,46.12
Upper-middle-income countries,2021-08-29,46.19
Upper-middle-income countries,2021-08-30,46.31
Upper-middle-income countries,2021-08-31,46.44
Upper-middle-income countries,2021-09-01,46.61
Upper-middle-income countries,2021-09-02,46.74
Upper-middle-income countries,2021-09-03,46.88
Upper-middle-income countries,2021-09-04,47.0
Upper-middle-income countries,2021-09-05,47.07
Upper-middle-income countries,2021-09-06,50.33
Upper-middle-income countries,2021-09-07,50.45
Upper-middle-income countries,2021-09-08,50.66
Upper-middle-income countries,2021-09-09,50.86
Upper-middle-income countries,2021-09-10,51.1
Upper-middle-income countries,2021-09-11,51.23
Upper-middle-income countries,2021-09-12,51.3
Upper-middle-income countries,2021-09-13,51.42
Upper-middle-income countries,2021-09-14,51.57
Upper-middle-income countries,2021-09-15,53.38
Upper-middle-income countries,2021-09-16,53.51
Upper-middle-income countries,2021-09-17,53.65
Upper-middle-income countries,2021-09-18,54.16
Upper-middle-income countries,2021-09-19,54.25
Upper-middle-income countries,2021-09-20,54.36
Upper-middle-income countries,2021-09-21,54.52
Upper-middle-income countries,2021-09-22,54.67
Upper-middle-income countries,2021-09-23,54.79
Upper-middle-income countries,2021-09-24,54.92
Upper-middle-income countries,2021-09-25,55.0
Upper-middle-income countries,2021-09-26,55.08
Upper-middle-income countries,2021-09-27,55.2
Upper-middle-income countries,2021-09-28,56.32
Upper-middle-income countries,2021-09-29,56.43
Upper-middle-income countries,2021-09-30,56.57
Upper-middle-income countries,2021-10-01,56.68
Upper-middle-income countries,2021-10-02,56.77
Upper-middle-income countries,2021-10-03,56.82
Upper-middle-income countries,2021-10-04,56.91
Upper-middle-income countries,2021-10-05,57.21
Upper-middle-income countries,2021-10-06,57.37
Upper-middle-income countries,2021-10-07,57.56
Upper-middle-income countries,2021-10-08,57.73
Upper-middle-income countries,2021-10-09,57.84
Upper-middle-income countries,2021-10-10,57.9
Upper-middle-income countries,2021-10-11,58.0
Upper-middle-income countries,2021-10-12,58.09
Upper-middle-income countries,2021-10-13,58.19
Upper-middle-income countries,2021-10-14,58.33
Upper-middle-income countries,2021-10-15,58.46
Upper-middle-income countries,2021-10-16,58.52
Upper-middle-income countries,2021-10-17,58.66
Upper-middle-income countries,2021-10-18,58.74
Upper-middle-income countries,2021-10-19,58.85
Upper-middle-income countries,2021-10-20,58.96
Upper-middle-income countries,2021-10-21,59.05
Upper-middle-income countries,2021-10-22,59.16
Upper-middle-income countries,2021-10-23,60.03
Upper-middle-income countries,2021-10-24,60.11
Upper-middle-income countries,2021-10-25,60.23
Upper-middle-income countries,2021-10-26,60.35
Upper-middle-income countries,2021-10-27,60.44
Upper-middle-income countries,2021-10-28,60.58
Upper-middle-income countries,2021-10-29,60.83
Upper-middle-income countries,2021-10-30,61.09
Upper-middle-income countries,2021-10-31,61.15
Upper-middle-income countries,2021-11-01,61.2
Upper-middle-income countries,2021-11-02,61.26
Upper-middle-income countries,2021-11-03,61.35
Upper-middle-income countries,2021-11-04,61.5
Upper-middle-income countries,2021-11-05,61.8
Upper-middle-income countries,2021-11-06,61.87
Upper-middle-income countries,2021-11-07,61.98
Upper-middle-income countries,2021-11-08,62.06
Upper-middle-income countries,2021-11-09,62.15
Upper-middle-income countries,2021-11-10,62.27
Upper-middle-income countries,2021-11-11,62.37
Upper-middle-income countries,2021-11-12,62.53
Upper-middle-income countries,2021-11-13,62.61
Upper-middle-income countries,2021-11-14,62.69
Upper-middle-income countries,2021-11-15,62.78
Upper-middle-income countries,2021-11-16,62.86
Upper-middle-income countries,2021-11-17,62.97
Upper-middle-income countries,2021-11-18,63.07
Upper-middle-income countries,2021-11-19,63.24
Upper-middle-income countries,2021-11-20,63.37
Upper-middle-income countries,2021-11-21,63.43
Upper-middle-income countries,2021-11-22,63.51
Upper-middle-income countries,2021-11-23,63.58
Upper-middle-income countries,2021-11-24,63.69
Upper-middle-income countries,2021-11-25,63.76
Upper-middle-income countries,2021-11-26,63.85
Upper-middle-income countries,2021-11-27,63.94
Upper-middle-income countries,2021-11-28,64.0
Upper-middle-income countries,2021-11-29,65.43
Upper-middle-income countries,2021-11-30,65.51
Upper-middle-income countries,2021-12-01,65.63
Upper-middle-income countries,2021-12-02,65.72
Upper-middle-income countries,2021-12-03,66.39
Upper-middle-income countries,2021-12-04,66.46
Upper-middle-income countries,2021-12-05,66.51
Upper-middle-income countries,2021-12-06,66.56
Upper-middle-income countries,2021-12-07,66.63
Upper-middle-income countries,2021-12-08,66.7
Upper-middle-income countries,2021-12-09,66.78
Upper-middle-income countries,2021-12-10,68.33
Upper-middle-income countries,2021-12-11,68.4
Upper-middle-income countries,2021-12-12,68.46
Upper-middle-income countries,2021-12-13,68.51
Upper-middle-income countries,2021-12-14,68.58
Upper-middle-income countries,2021-12-15,68.66
Upper-middle-income countries,2021-12-16,68.71
Upper-middle-income countries,2021-12-17,69.8
Upper-middle-income countries,2021-12-18,69.84
Upper-middle-income countries,2021-12-19,70.17
Upper-middle-income countries,2021-12-20,70.44
Upper-middle-income countries,2021-12-21,70.51
Upper-middle-income countries,2021-12-22,70.58
Upper-middle-income countries,2021-12-23,70.62
Upper-middle-income countries,2021-12-24,70.65
Upper-middle-income countries,2021-12-25,71.06
Upper-middle-income countries,2021-12-26,71.07
Upper-middle-income countries,2021-12-27,71.12
Upper-middle-income countries,2021-12-28,71.33
Upper-middle-income countries,2021-12-29,71.41
Upper-middle-income countries,2021-12-30,71.43
Upper-middle-income countries,2021-12-31,71.47
